Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Greece,21.824312,39.074208,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,2956.1679999999997
Greece,21.824312,39.074208,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,230.79
Greece,21.824312,39.074208,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,53.02
Greece,21.824312,39.074208,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,6.39
Greece,21.824312,39.074208,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,32.43
Greece,21.824312,39.074208,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,256.46
Hungary,19.503304,47.162494,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,406.56
Hungary,19.503304,47.162494,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,9.2
Hungary,19.503304,47.162494,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,7394.36
Hungary,19.503304,47.162494,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,285.83
Hungary,19.503304,47.162494,Europe,EU,South Korea,127.766922,35.907757000000004,Asia,1000 US$,2999.86
Hungary,19.503304,47.162494,Europe,EU,Senegal,-14.452361999999999,14.497401000000002,Africa,1000 US$,82.87
Hungary,19.503304,47.162494,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,1598.37
Hungary,19.503304,47.162494,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,1974.67
Hungary,19.503304,47.162494,Europe,EU,Paraguay,-58.44383199999999,-23.442503,South America,1000 US$,17.9
Hungary,19.503304,47.162494,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,47.51
Hungary,19.503304,47.162494,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,102.51
Hungary,19.503304,47.162494,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,474.67
Hungary,19.503304,47.162494,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,296.14
Hungary,19.503304,47.162494,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,91.68
Hungary,19.503304,47.162494,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,74.27
Hungary,19.503304,47.162494,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,544.92
Hungary,19.503304,47.162494,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,159.39
Hungary,19.503304,47.162494,Europe,EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,46.0
Hungary,19.503304,47.162494,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,110.35
Hungary,19.503304,47.162494,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,18.4
Hungary,19.503304,47.162494,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,418.9
Hungary,19.503304,47.162494,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,403.12
Hungary,19.503304,47.162494,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,3039.35
Hungary,19.503304,47.162494,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,23497.34
Hungary,19.503304,47.162494,Europe,EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,1582.44
Hungary,19.503304,47.162494,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,58.32
Ireland,-8.243889999999999,53.41291,Europe,EU,Mauritius,57.552152,-20.348404000000002,Africa,1000 US$,70.09
Ireland,-8.243889999999999,53.41291,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,1011.52
Ireland,-8.243889999999999,53.41291,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,39.4
Ireland,-8.243889999999999,53.41291,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,36.73
